title,bvid,link,play_count,uploader,cover
【哈基米音乐】soul seeker,BV1rgojY8EHR,https://www.bilibili.com/video/BV1rgojY8EHR/,561000,冷秋猫,https://i0.hdslb.com/bfs/archive/9b089166e8cd8393caf56d1742d15e6d8897bcc4.jpg@672w_378h_1c_!web-search-common-cover
伤感活全家哈基米音乐之哈基米unchanged mind,BV1XFosYuEBA,https://www.bilibili.com/video/BV1XFosYuEBA/,558000,静止的海平面seaplane,https://i1.hdslb.com/bfs/archive/b72ba5d679228c44499310a1604e5e83b52aff22.jpg@672w_378h_1c_!web-search-common-cover
哈基米～哈基米～～,BV1zV4y1R7HF,https://www.bilibili.com/video/BV1zV4y1R7HF/,549000,Yige一格,https://i1.hdslb.com/bfs/archive/37c8bae637a28eb7e8a86c75bdf44a873e2cfb6f.jpg@672w_378h_1c_!web-search-common-cover
【神人杯Day14】🎵𝑶𝒏𝒆 𝑴𝒐𝒓𝒆 𝑵𝒊𝒈𝒉𝒕🎵哈基米音乐,BV1i67dz5E4g,https://www.bilibili.com/video/BV1i67dz5E4g/,540000,还给我神ID,https://i0.hdslb.com/bfs/archive/a45564ac79a55425f4538be65aea94b47b2b30cb.jpg@672w_378h_1c_!web-search-common-cover
🎵𝑺𝒖𝒎𝒎𝒆𝒓 𝑽𝒊𝒃𝒆🎵夏日氛围 哈基米音乐,BV13oAPewEXS,https://www.bilibili.com/video/BV13oAPewEXS/,522000,还给我神ID,https://i1.hdslb.com/bfs/archive/f3e7eb77e3503f8a0b784531f91cfba15992c3c1.jpg@672w_378h_1c_!web-search-common-cover
哈基米没有活着的传奇,BV11vRVYZEv5,https://www.bilibili.com/video/BV11vRVYZEv5/,510000,我也是额,https://i1.hdslb.com/bfs/archive/02e5fcacacd2e19314634dfea72fdfc4f7ee01b3.jpg@672w_378h_1c_!web-search-common-cover
【杀死那只哈基米】,BV1zS411A7PT,https://www.bilibili.com/video/BV1zS411A7PT/,507000,赶懒sho,https://i0.hdslb.com/bfs/archive/35ce44e9759b39365573cfd97175ad7d6a1a32a3.jpg@672w_378h_1c_!web-search-common-cover
哈基汪对豪猫使用大狗叫和大旋风😨,BV1tXwZe6Erq,https://www.bilibili.com/video/BV1tXwZe6Erq/,503000,苍山流,https://i2.hdslb.com/bfs/archive/8dbf2f786baf12dae5ef5eeb104a31b38bee3000.jpg@672w_378h_1c_!web-search-common-cover
当KTV被查房时，听到各种音乐的区别,BV1QWBgYDEtW,https://www.bilibili.com/video/BV1QWBgYDEtW/,502000,黑袍小曼波,https://i1.hdslb.com/bfs/archive/fb9bd4fc602d5ccd6af16ba547359efcbf874469.jpg@672w_378h_1c_!web-search-common-cover
⚡️三角洲FM之不再曼波⚡️,BV1QPmYYKEhZ,https://www.bilibili.com/video/BV1QPmYYKEhZ/,488000,游神彡凌峰凛,https://i0.hdslb.com/bfs/archive/c934c12d1b74abd7e8d03575c41691644d1cddce.jpg@672w_378h_1c_!web-search-common-cover
